id|county
12373|Adair
12374|Adair
12375|Adair
12376|Adair
12377|Adair
12378|Adair
12379|Adair
12380|Adair
12381|Adair
12382|Adair
12383|Adair
12384|Adair
12385|Adair
12386|Adair
12387|Adair
12388|Adair
12389|Adair
12390|Adair
12391|Adair
12392|Adair
12393|Adair
12394|Adair
12395|Adair
12396|Adair
12397|Adair
12398|Adair
12399|Adair
12400|Adair
12401|Adair
12402|Adair
12403|Adair
12404|Adair
12405|Adair
12406|Adair
12407|Adair
12408|Adair
12409|Adair
12410|Adair
12411|Adair
12412|Adair
12413|Adair
12414|Adair
12415|Adair
12416|Adair
12417|Adair
12418|Adair
12419|Adair
12420|Adair
12421|Adair
12422|Adair
12423|Adair
12424|Adair
12425|Adair
12426|Adair
12427|Adair
12428|Adair
12429|Adair
12430|Adair
12431|Adair
12432|Adair
12433|Adair
12434|Adair
12435|Adair
12436|Adair
12437|Adair
12438|Adair
12439|Adair
12440|Adair
12441|Adair
12442|Adair
12443|Adair
12444|Adair
12445|Adair
12446|Adair
12447|Adair
12448|Adair
12449|Adair
12450|Adair
12451|Adair
12452|Adair
12453|Adair
12454|Adair
12455|Adair
12456|Adair
12457|Adair
12458|Adair
12459|Adair
12460|Adair
12461|Adair
12462|Adair
12463|Adair
12464|Adair
12465|Adair
12466|Adair
12467|Adair
12468|Adair
12469|Adair
12470|Adair
12471|Adair
12472|Adair
12473|Adair
12474|Adair
12475|Adair
12476|Adair
12477|Adair
12478|Adair
12479|Adair
12480|Adair
12481|Adair
12482|Adair
12483|Adair
12484|Adair
12485|Adair
12486|Adair
12487|Adair
12488|Adair
12489|Adair
12490|Adair
12491|Adair
12492|Adair
12493|Adair
12494|Adair
12495|Adair
12496|Adair
12497|Adair
12498|Adair
12499|Adair
12500|Adair
12501|Adair
12502|Adair
12503|Adair
12504|Adair
12505|Adair
12506|Adair
12507|Adair
12508|Adair
12509|Adair
12510|Adair
12511|Adair
12512|Adair
12513|Adair
12514|Adair
12515|Adair
12516|Adair
12517|Adair
12518|Adair
12519|Adair
12520|Adair
12521|Adair
12522|Adair
12523|Adair
12524|Adair
12525|Adair
12526|Adair
12527|Adair
12528|Adair
12529|Adair
12530|Adair
12531|Adair
12532|Adair
12533|Adair
12534|Adair
12535|Adair
12536|Adair
12537|Adair
12538|Adair
12539|Adair
12540|Adair
12541|Adair
12542|Adair
12543|Adair
12544|Adair
12545|Adair
12546|Adair
12547|Adair
12548|Adair
12549|Adair
12550|Adair
12551|Adair
12552|Adair
12553|Adair
12554|Adair
12555|Adair
12556|Adair
12557|Adair
12558|Adair
12559|Adair
12560|Adair
12561|Adair
12562|Adair
12563|Adair
12564|Adair
12565|Adair
12566|Adair
12567|Adair
12568|Adair
12569|Adair
12570|Adair
12571|Adair
12572|Adair
12573|Adair
12574|Adair
12575|Adair
12576|Adair
12577|Adair
12578|Adair
12579|Adair
12580|Adair
12581|Adair
12582|Adair
12583|Adair
12584|Adair
12585|Adair
12586|Adair
12587|Adair
12588|Adair
12589|Adair
12590|Adair
12591|Adair
12592|Adair
12593|Adair
12594|Adair
12595|Adair
12596|Adair
12597|Adair
12598|Adair
12599|Adair
12600|Adair
12601|Adair
12602|Adair
12603|Adair
12604|Adair
12605|Adair
12606|Adair
12607|Adair
12608|Adair
12609|Adair
12610|Adair
12611|Adair
12612|Adair
12613|Adair
12614|Adair
12615|Adair
12616|Adair
12617|Adair
12618|Adair
12619|Adair
12620|Adair
12621|Adair
12622|Adair
12623|Adair
12624|Adair
12625|Adair
12626|Adair
12627|Adair
12628|Adair
12629|Adair
12630|Adair
12631|Adair
12632|Adair
12633|Adair
12634|Adair
12635|Adair
12636|Adair
12637|Adair
12638|Adair
12639|Adair
12640|Adair
12641|Adair
12642|Adair
12643|Adair
12644|Adair
12645|Adair
12646|Adair
12647|Adair
12648|Adair
12649|Adair
12650|Adair
12651|Adair
12652|Adair
12653|Adair
12654|Adair
12655|Adair
12656|Adair
12657|Adair
12658|Adair
12659|Adair
12660|Adair
12661|Adair
12662|Adair
12663|Adair
12664|Adair
12665|Adair
12666|Adair
12667|Adair
12668|Adair
12669|Adair
12670|Adair
12671|Adair
12672|Adair
12673|Adair
12674|Adair
12675|Adair
12676|Adair
12677|Adair
12678|Adair
12679|Adair
12680|Adair
12681|Adair
12682|Adair
12683|Adair
12684|Adair
12685|Adair
12686|Adair
12687|Adair
12688|Adair
12689|Adair
